Encontrar Chessboard;Ajustar Esquinas;Calcular Matriz;Proyectar Puntos
0.003525734;0.000574112;0.000340462;0.000317574
0.003954411;0.000556469;0.000179768;0.000246286
0.114199877;0.000636816;0.00073719;0.00035429
0.100363016;0.000829697;0.000210762;0.000355959
0.088353634;0.000646353;0.0001719;0.000228405
0.086091518;0.000653744;0.000199318;0.00024724
0.086478233;0.000644445;0.000179768;0.000241756
0.075428724;0.000617027;0.000201702;0.000231266
0.084578753;0.000621319;0.000171661;0.000225306
0.081992865;0.000640392;0.000186682;0.000239849
0.079247952;0.000684023;0.000190258;0.000227928
0.005108356;0.000833035;0.00026679;0.000356913
0.08272934;0.00065279;0.000175476;0.000224829
0.004496813;0.000551701;0.000183582;0.000303745
0.081290007;0.000635147;0.000173569;0.000232458
0.074407101;0.000622272;0.000171661;0.00022769
0.076620102;0.000657558;0.000179052;0.000230312
0.075558901;0.000658989;0.000194311;0.000268459
0.004498005;0.000558615;0.000183105;0.000252008
0.005220413;0.000639439;0.000466824;0.000277042
0.053735256;0.000597239;0.000184059;0.00022912
0.056547403;0.000645638;0.000189781;0.000297546
0.003685474;0.000566244;0.000185966;0.000236988
0.062607527;0.000639915;0.000200033;0.000225306
0.003333807;0.000610828;0.000217199;0.000225782
0.003787756;0.000693798;0.000252962;0.000370026
0.066595554;0.000660419;0.00019598;0.00024128
0.064706802;0.000658035;0.000181675;0.000274181
0.06795311;0.000656605;0.000207663;0.000231028
0.066841125;0.000924587;0.00028038;0.000398874
0.071629763;0.00063777;0.000169992;0.00023675
0.072944403;0.000662088;0.000234604;0.00031805
0.073256493;0.000622511;0.000172853;0.000223875
0.073066711;0.000627518;0.000172377;0.000234842
0.065661192;0.000757456;0.000193357;0.000254393
0.004795551;0.000868559;0.000277996;0.000384808
0.062510729;0.000635862;0.000189066;0.000240803
0.064487934;0.000599146;0.000169992;0.000226259
0.066367865;0.000820398;0.000204802;0.000247002
0.004373789;0.000811815;0.000204325;0.00028801
0.004053354;0.000735283;0.000242472;0.000329018
0.072341681;0.001007557;0.000208139;0.000255823
0.004745245;0.000626802;0.000188589;0.000252008
0.003695488;0.000555277;0.000185251;0.000916004
0.067346573;0.000656605;0.000174761;0.000232697
0.006215334;0.000617027;0.000212669;0.000466108
0.006403446;0.000633001;0.000197411;0.000240803
0.00713563;0.000689268;0.000191927;0.000281811
0.004168034;0.000889063;0.000319958;0.000451565
0.004984379;0.000814915;0.000252247;0.000558853
0.006756783;0.000942707;0.000308752;0.000365973
0.002975702;0.00073266;0.000208378;0.000253916
0.004012823;0.001021862;0.00022006;0.000255823
0.003533125;0.000657082;0.000200272;0.000249863
0.006574869;0.000666857;0.000185251;0.000328064
0.006463766;0.001199722;0.000211716;0.00032115
0.005817413;0.000836611;0.000296116;0.000385523
0.005796671;0.000573397;0.00018239;0.000246286
0.006023169;0.000690222;0.00023365;0.000276804
0.005768299;0.000981808;0.000234365;0.00033021
0.003388405;0.000559092;0.000184536;0.000246763
0.004458666;0.000844002;0.000306368;0.00031209
0.003530025;0.000574827;0.000195026;0.000249863
0.003362179;0.000618219;0.000210762;0.000302792
0.003409147;0.000582218;0.000183344;0.000242233
0.004497051;0.00082016;0.000283241;0.000393867
0.006250143;0.000921249;0.000278473;0.000383854
0.010760784;0.000989199;0.000374079;0.000497341
0.003842354;0.000572205;0.000201941;0.000253201
0.006770611;0.000645161;0.000191212;0.000279665
0.003621817;0.000581741;0.000201941;0.000262022
0.003183365;0.000580311;0.000179529;0.00025034
0.003598928;0.000801802;0.00020051;0.000257969
0.003516912;0.000600338;0.000211954;0.000239611
0.004301548;0.001255989;0.000457525;0.000545263
0.003794909;0.000609636;0.000205517;0.00027895
0.003830433;0.000670433;0.000275135;0.000263929
0.003367901;0.000634432;0.000192881;0.000236034
0.003298044;0.00063324;0.000427246;0.000282526
0.002637863;0.000590324;0.000196934;0.000256062
0.004719496;0.000813484;0.000211477;0.000290155
0.002416611;0.000884533;0.000223637;0.00027442
0.002291203;0.000588179;0.000215054;0.00056982
0.005525112;0.000661612;0.00019002;0.000253439
0.004571915;0.000661373;0.000190973;0.000264406
0.002953768;0.000569105;0.000192165;0.000260592
0.005843163;0.000648975;0.000197172;0.000260353
0.005274534;0.00084734;0.000228405;0.000458479
0.002896786;0.00064826;0.000185251;0.000255823
0.002508402;0.000574112;0.000208855;0.00026989
0.005864859;0.001312494;0.000616789;0.000355482
0.004165411;0.000566483;0.000196695;0.00024581
0.005651712;0.000580072;0.000184298;0.000254154
0.004674196;0.000729561;0.00022912;0.000264168
0.00305891;0.000669003;0.000188589;0.000282764
0.004792213;0.000733137;0.000352144;0.000314951
0.004208565;0.000613451;0.000221014;0.000417233
0.006011486;0.000671148;0.000186682;0.000255585
0.003368378;0.000626326;0.000193357;0.00065589
0.00577426;0.000733614;0.000268698;0.000288486
0.004764557;0.000708342;0.000203609;0.000255108
0.005686283;0.000793695;0.00025177;0.000318766
0.006677628;0.000696182;0.000216722;0.000279665
0.004459143;0.0006392;0.000202656;0.000248194
0.002594709;0.000560522;0.000208139;0.000262737
0.002484083;0.000556231;0.000201941;0.0002563
0.004148483;0.000587225;0.000192165;0.000252247
0.007270336;0.000610828;0.000177145;0.000235558
0.00450182;0.000679255;0.000226259;0.000278473
0.006536722;0.00068593;0.000216007;0.000283003
0.004362583;0.000606298;0.000278473;0.000278711
0.003680229;0.000577688;0.000186205;0.000250101
0.006981134;0.000977755;0.000268221;0.000353813
0.004300356;0.000602961;0.000191927;0.000279188
